Original File Name,Phase,Asset Type,Bike Model,Description,Text Overlay,Orientation,Dimensions,File Extension,New Asset Name
DF25_000254780_1.mp4,Phase1,Video,R1300R,no-riding,no-text,portrait,1080x1350,.mp4,Phase1_Video_R1300R_no-riding_no-text_portrait_1080x1350.mp4
DF25_000254782.mp4,Phase1,Video,R1300R,full-video,text,landscape,3840x2160,.mp4,Phase1_Video_R1300R_full-video_text_landscape_3840x2160.mp4
DF25_000254782_1.mp4,Phase1,Video,R1300R,full-video,no-text,landscape,3840x2160,.mp4,Phase1_Video_R1300R_full-video_no-text_landscape_3840x2160.mp4
DF25_000254782_2.mp4,Phase1,Video,R1300R,full-video,no-text,portrait,1080x1920,.mp4,Phase1_Video_R1300R_full-video_no-text_portrait_1080x1920.mp4
DF25_000254782_3.mp4,Phase1,Video,R1300R,full-video,no-text,portrait,1080x1350,.mp4,Phase1_Video_R1300R_full-video_no-text_portrait_1080x1350.mp4
DI25_000253533.tif,Phase1,Static,R1300R,riding-urban,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-urban_no-text_landscape_4096x2840.tif
DI25_000253534.tif,Phase1,Static,R1300R,riding-urban,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-urban_no-text_landscape_4096x2840.tif
DI25_000253535.tif,Phase1,Static,R1300R,riding-urban,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-urban_no-text_landscape_4096x2840.tif
DI25_000253536.tif,Phase1,Static,R1300R,riding-urban,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-urban_no-text_landscape_4096x2840.tif
DI25_000253537.tif,Phase1,Static,R1300R,riding-bridge,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-bridge_no-text_landscape_4096x2840.tif
DI25_000253540.tif,Phase1,Static,R1300R,mountain-two-bikes,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_mountain-two-bikes_no-text_landscape_4096x2840.tif
DI25_000253541.tif,Phase1,Static,R1300R,mountain-two-bikes,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_mountain-two-bikes_no-text_landscape_4096x2840.tif
DI25_000253542.jpg,Phase1,Static,R1300R,badge-close-up,no-text,landscape,4096x2840,.jpg,Phase1_Static_R1300R_badge-close-up_no-text_landscape_4096x2840.jpg
DI25_000253544.jpg,Phase1,Static,R1300R,badge-close-up,no-text,landscape,4096x2840,.jpg,Phase1_Static_R1300R_badge-close-up_no-text_landscape_4096x2840.jpg
DI25_000253545.jpg,Phase1,Static,R1300R,sunset-helmet,no-text,landscape,4096x2840,.jpg,Phase1_Static_R1300R_sunset-helmet_no-text_landscape_4096x2840.jpg
DI25_000253546.tif,Phase1,Static,R1300R,sunset-close,no-text,portrait,1080x1920,.tif,Phase1_Static_R1300R_sunset-close_no-text_portrait_1080x1920.tif
DI25_000253552.jpg,Phase1,Static,R1300R,night-riding,no-text,landscape,4096x2840,.jpg,Phase1_Static_R1300R_night-riding_no-text_landscape_4096x2840.jpg
DI25_000253554.tif,Phase1,Static,R1300R,riding-two-bikes,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-two-bikes_no-text_landscape_4096x2840.tif
DI25_000253624.tif,Phase1,Static,R1300R,riding-dynamic,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-dynamic_no-text_landscape_4096x2840.tif
DI25_000253625.jpg,Phase1,Static,R1300R,riding-openroad,no-text,square,4096x4096,.jpg,Phase1_Static_R1300R_riding-openroad_no-text_square_4096x4096.jpg
DI25_000253626.tif,Phase1,Static,R1300R,riding-openroad,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_riding-openroad_no-text_landscape_4096x2840.tif
DI25_000253628.tif,Phase1,Static,R1300R,curve-lean,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_curve-lean_no-text_landscape_4096x2840.tif
DI25_000254078.tif,Phase1,Static,R1300R,static-drive,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_static-drive_no-text_landscape_4096x2840.tif
DI25_000254079.tif,Phase1,Static,R1300R,curve-lean,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_curve-lean_no-text_landscape_4096x2840.tif
DI25_000254081.tif,Phase1,Static,R1300R,mountain-chase,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300R_mountain-chase_no-text_landscape_4096x2840.tif
